ID_Number,country,iso3,year,popul,lifeE,infla,gdpPC,d_popul,d_lifeE,d_infla,d_gdpPC
00000,Australia,AUS,1961, 0010483000.000000, 70.973171, 0002.287580, 001880.484895, 00232761.500000, 0.062683,-0002.024155, 00022.065087
00001,Australia,AUS,1962, 0010742000.000000, 70.942439,-0000.319489, 001857.561273, 00233500.000000,-0.030732,-0000.823278, 00044.846295
00002,Australia,AUS,1963, 0010950000.000000, 70.911707, 0000.641025, 001970.177484, 00212500.000000,-0.030732, 0001.592858, 00138.464094
00003,Australia,AUS,1964, 0011167000.000000, 70.880976, 0002.866227, 002134.489461, 00219000.000000,-0.030732, 0001.382280, 00157.089172
00004,Australia,AUS,1965, 0011388000.000000, 70.850244, 0003.405585, 002284.355827, 00242000.000000,-0.030732, 0000.213592, 00106.443553
00005,Australia,AUS,1966, 0011651000.000000, 70.819512, 0003.293411, 002347.376566, 00205500.000000, 0.009512, 0000.036337, 00149.775848
00006,Australia,AUS,1967, 0011799000.000000, 70.869268, 0003.478259, 002583.907524, 00179000.000000, 0.049756,-0000.386202, 00190.428847
00007,Australia,AUS,1968, 0012009000.000000, 70.919024, 0002.521007, 002728.234261, 00232000.000000, 0.049756,-0000.099786, 00205.976837
00008,Australia,AUS,1969, 0012263000.000000, 70.968780, 0003.278687, 002995.861199, 00249000.000000, 0.049756, 0000.459072, 00290.764401
00009,Australia,AUS,1970, 0012507000.000000, 71.018537, 0003.439152, 003309.763063, 00337000.000000, 0.049756, 0001.429711, 00252.237417
00010,Australia,AUS,1971, 0012937000.000000, 71.068293, 0006.138108, 003500.336032, 00335000.000000, 0.219512, 0001.292476, 00322.730621
00011,Australia,AUS,1972, 0013177000.000000, 71.457561, 0006.024104, 003955.224304, 00221500.000000, 0.389268, 0001.476398, 00638.588569
00012,Australia,AUS,1973, 0013380000.000000, 71.846829, 0009.090904, 004777.513169, 00273000.000000, 0.389268, 0004.696287, 01268.260456
00013,Australia,AUS,1974, 0013723000.000000, 72.236098, 0015.416677, 006491.745216, 00256500.000000, 0.389268, 0003.035758, 01118.079214
00014,Australia,AUS,1975, 0013893000.000000, 72.625366, 0015.162420, 007013.671598, 00155000.000000, 0.389268,-0001.046887, 00502.768269
00015,Australia,AUS,1976, 0014033000.000000, 73.014634, 0013.322903, 007497.281754, 00149500.000000, 0.359512,-0001.426297, 00386.368222
