ID_Number,country,iso3,year,popul,lifeE,infla,gdpPC,d_popul,d_lifeE,d_infla,d_gdpPC
00000,Australia,AUS,2022,-0.328838, 1.102066,-0.348755, 0.966946,-0.130782,-1.272505,-0.091751, 0.961389
00001,Austria,AUT,2022,-0.385710, 0.709290,-0.037561, 0.568613,-0.343334,-0.736017, 0.380549, 0.506913
00002,Belgium,BEL,2022,-0.376871, 0.802832, 0.129870, 0.514881,-0.338600,-0.731406,-0.321201, 0.740152
00003,Bangladesh,BGD,2022, 0.151427,-0.740284,-0.173004,-0.971620, 0.623454, 1.133681, 0.235734,-0.443702
00004,Brazil,BRA,2022, 0.288511,-0.615124, 0.079288,-0.767845, 0.033161, 0.655315,-1.406232, 0.332308
00005,Canada,CAN,2022,-0.285567, 0.668001,-0.315496, 0.690292, 0.100552,-1.005491,-0.550774,-0.023467
00006,Switzerland,CHE,2022,-0.386597, 1.185550,-0.947803, 1.874102,-0.341122,-0.860532,-0.332461, 1.844465
00007,Chile,CHL,2022,-0.350498, 0.272338, 0.455979,-0.577745,-0.336271, 0.328211,-0.025630,-0.180690
00008,China,CHN,2022, 4.314679, 0.071505,-1.085084,-0.653328,-0.829357,-1.219071,-0.801782,-0.445172
00009,Colombia,COL,2022,-0.242681,-0.277789, 0.222255,-0.848577,-0.088602, 2.052596, 1.032234,-0.207916
00010,Czechia,CZE,2022,-0.380248, 0.221464, 1.006776,-0.178050,-0.294809, 0.526035, 0.742566, 0.883572
00011,Germany,DEU,2022,-0.137360, 0.567619,-0.304377, 0.511801,-0.365897,-0.957376,-0.061821, 0.339769
00012,Denmark,DNK,2022,-0.396224, 0.711302,-0.173065, 1.048011,-0.366157,-0.895888,-0.353165,-0.897096
00013,Algeria,DZA,2022,-0.263653,-0.355937, 0.076963,-0.901971,-0.016698,-0.452048,-0.221746,-0.064561
00014,"Egypt, Arab Rep.",EGY,2022,-0.038737,-1.411448, 0.814826,-0.924537, 0.562401, 0.558886, 5.201439,-0.589392
00015,Spain,ESP,2022,-0.255919, 1.088487,-0.062468,-0.114812,-0.148297,-0.639173,-0.559872, 0.428174
00016,Finland,FIN,2022,-0.397387, 0.687162,-0.264388, 0.509754,-0.378754,-1.304786, 0.178230,-0.554285
00017,France,FRA,2022,-0.187586, 0.881287,-0.567355, 0.216363,-0.249239,-0.795968, 0.010881,-0.142557
00018,Greece,GRC,2022,-0.381036, 0.604684, 0.137479,-0.407615,-0.433253,-0.073478,-0.192182, 0.426602
00019,Hungary,HUN,2022,-0.383823,-0.409694, 0.928367,-0.483928,-0.400484, 0.463009, 1.802236, 0.596287
00020,Indonesia,IDN,2022, 0.518062,-1.428975,-0.728772,-0.909094, 0.789514, 1.212463,-0.219052,-0.270704
00021,India,IND,2022, 4.359060,-1.269586,-0.332033,-0.983075, 5.962247, 1.859737,-0.543851,-0.369870
00022,Ireland,IRL,2022,-0.398537, 0.959741,-0.151888, 2.209219,-0.336683,-0.766762, 0.158439, 0.541651
00023,"Iran, Islamic Rep.",IRN,2022,-0.116100,-0.217787, 5.530750,-0.909393, 0.182959, 1.343556,-0.406624,-0.318849
00024,Iraq,IRQ,2022,-0.268366,-1.199686,-0.603626,-0.853535, 0.142931,-0.094692,-0.993068,-0.102116
00025,Italy,ITA,2022,-0.218308, 0.998969,-0.092632, 0.050770,-0.429820,-0.671454, 0.115446, 0.338780
00026,Japan,JPN,2022, 0.003160, 1.266268,-1.001559, 0.001470,-0.700248,-1.370579, 0.065055,-2.544563
00027,Luxembourg,LUX,2022,-0.413811, 1.049763,-0.389885, 2.784366,-0.383153,-0.666842,-0.401663,-1.042546
00028,Morocco,MAR,2022,-0.290950,-0.555534,-0.338725,-0.948444,-0.188395, 0.099428, 0.307432,-0.457110
00029,Mexico,MEX,2022, 0.014845,-0.800493,-0.141240,-0.701901, 0.166560, 2.236632,-0.682413, 0.711485
00030,Netherlands,NLD,2022,-0.356702, 0.775172, 0.194204, 0.779270,-0.298588,-0.766762,-0.412236, 0.653939
00031,Norway,NOR,2022,-0.397718, 0.959741,-0.481021, 2.335828,-0.360551,-1.211017,-0.234427,-2.317855
00032,Philippines,PHL,2022,-0.034227,-1.728576,-0.471931,-0.945807, 0.086346, 0.874645,-0.230983,-0.360177
00033,Papua New Guinea,PNG,2022,-0.381819,-2.594181,-0.562435,-0.959645,-0.289893, 0.003629,-1.095386,-0.347295
00034,Poland,POL,2022,-0.292649,-0.144155, 0.899891,-0.469550,-0.468481, 0.716650, 0.671644, 0.699147
00035,Portugal,PRT,2022,-0.381045, 0.778692,-0.151372,-0.291710,-0.332586,-0.516195,-0.027975, 0.504359
00036,Romania,ROU,2022,-0.352188,-0.557047, 0.798862,-0.574705,-0.406407, 1.150144, 0.441239, 0.641594
00037,Saudi Arabia,SAU,2022,-0.308215,-0.112421,-1.005324, 0.139432, 0.386616,-0.080196,-0.799747, 0.940339
00038,Sweden,SWE,2022,-0.380869, 1.072897,-0.065860, 0.646218,-0.358012,-0.955839, 0.653592,-2.358229
00039,Tunisia,TUN,2022,-0.375400,-0.372226,-0.075872,-0.940865,-0.349764, 1.162672, 0.089780,-0.451668
00040,United States,USA,2022, 0.702933,-0.086823,-0.124264, 1.323530, 0.862567, 0.180162,-0.768180, 3.129058
00041,South Africa,ZAF,2022,-0.207036,-2.557066,-0.277716,-0.853115, 0.064927, 1.486625,-0.352274,-0.730163
