ID_Number,country,iso3,year,popul,lifeE,infla,gdpPC,d_popul,d_lifeE,d_infla,d_gdpPC
00000,Austria,AUT,2002,-0.565207, 0.428180,-0.333297, 0.179657,-0.199825,-0.032718, 0.359600,-0.131824
00001,Belgium,BEL,2002,-0.465046, 0.240272,-0.311505, 0.089823,-0.171753,-0.302782, 0.364415,-0.120591
00003,Denmark,DNK,2002,-0.686744,-0.235135,-0.326398, 0.718262,-0.347994,-0.323556, 0.210808, 0.456278
00005,France,FRA,2002, 1.837398, 0.726614,-0.380101, 0.008211, 2.237312,-0.098504, 0.382409,-0.295548
00006,Germany,DEU,2002, 2.745764, 0.289154,-0.456711, 0.085824,-0.179121,-1.168368, 0.375869,-0.475574
00007,Greece,GRC,2002,-0.440588, 0.395039,-0.059504,-0.738976,-0.225946,-0.610938, 0.367164,-0.421287
00009,Ireland,IRL,2002,-0.749551, 0.047888, 0.050506, 0.678384,-0.009954, 3.311914, 0.261316, 1.386322
00011,Luxembourg,LUX,2002,-0.906454, 0.252865,-0.256616, 2.294918,-0.409929,-0.223150, 0.368652, 2.551211
00012,Netherlands,NLD,2002,-0.206643, 0.352122,-0.249570, 0.391705, 0.017369,-0.018869, 0.206677, 0.210225
00013,Norway,NOR,2002,-0.723616, 0.642602,-0.357418, 1.428528,-0.280312, 0.334291, 0.214941, 2.235044
00014,Poland,POL,2002, 0.776015,-1.313705, 0.060474,-1.445550,-0.750436, 0.161166,-0.503066,-1.245837
00015,Portugal,PRT,2002,-0.462286,-0.208291,-0.111480,-0.852503,-0.187210, 1.390308, 0.321585,-0.864091
00016,Romania,ROU,2002, 0.043612,-2.588802, 4.212861,-1.653968,-1.642254,-1.182220,-4.232706,-1.308715
00017,Spain,ESP,2002, 0.941769, 0.770526,-0.080849,-0.506430, 3.091156, 0.109241, 0.378377,-0.283079
00018,Sweden,SWE,2002,-0.527953, 0.964897,-0.488226, 0.491026,-0.255888,-1.452284, 0.337169, 0.006546
00019,Switzerland,CHE,2002,-0.600792, 1.147172,-0.575053, 1.275673,-0.149872, 0.330830, 0.302119, 0.325686
