ID_Number,country,iso3,year,popul,lifeE,infla,gdpPC,d_popul,d_lifeE,d_infla,d_gdpPC
00002,Belgium,BEL,2022,-0.376871, 0.802832, 0.129870, 0.514881,-0.338600,-0.731406,-0.321201, 0.740152
00006,Switzerland,CHE,2022,-0.386597, 1.185550,-0.947803, 1.874102,-0.341122,-0.860532,-0.332461, 1.844465
00007,Chile,CHL,2022,-0.350498, 0.272338, 0.455979,-0.577745,-0.336271, 0.328211,-0.025630,-0.180690
00010,Czechia,CZE,2022,-0.380248, 0.221464, 1.006776,-0.178050,-0.294809, 0.526035, 0.742566, 0.883572
00013,Algeria,DZA,2022,-0.263653,-0.355937, 0.076963,-0.901971,-0.016698,-0.452048,-0.221746,-0.064561
00014,"Egypt, Arab Rep.",EGY,2022,-0.038737,-1.411448, 0.814826,-0.924537, 0.562401, 0.558886, 5.201439,-0.589392
00015,Spain,ESP,2022,-0.255919, 1.088487,-0.062468,-0.114812,-0.148297,-0.639173,-0.559872, 0.428174
00019,Hungary,HUN,2022,-0.383823,-0.409694, 0.928367,-0.483928,-0.400484, 0.463009, 1.802236, 0.596287
00022,Ireland,IRL,2022,-0.398537, 0.959741,-0.151888, 2.209219,-0.336683,-0.766762, 0.158439, 0.541651
00023,"Iran, Islamic Rep.",IRN,2022,-0.116100,-0.217787, 5.530750,-0.909393, 0.182959, 1.343556,-0.406624,-0.318849
00027,Luxembourg,LUX,2022,-0.413811, 1.049763,-0.389885, 2.784366,-0.383153,-0.666842,-0.401663,-1.042546
00038,Sweden,SWE,2022,-0.380869, 1.072897,-0.065860, 0.646218,-0.358012,-0.955839, 0.653592,-2.358229
00040,United States,USA,2022, 0.702933,-0.086823,-0.124264, 1.323530, 0.862567, 0.180162,-0.768180, 3.129058
00041,South Africa,ZAF,2022,-0.207036,-2.557066,-0.277716,-0.853115, 0.064927, 1.486625,-0.352274,-0.730163
